SampleSize,LossFunction,Accuracy
83,1.7637159824371338,0.9277108311653137
133,2.819704055786133,0.9248120188713074
54,2.018019437789917,0.9444444179534912
70,1.6670894622802734,0.9428571462631226
30,0.004004291724413633,1.0
146,1.8839949369430542,0.9452054500579834
98,1.6933679580688477,0.918367326259613
68,2.4351963996887207,0.9117646813392639
117,1.1863958835601807,0.94017094373703
32,3.0791306495666504,0.875
68,2.1010079383850098,0.9117646813392639
96,1.2889729738235474,0.9583333134651184
116,2.088963270187378,0.9396551847457886
35,0.6526656150817871,0.9428571462631226
174,2.0459208488464355,0.9137930870056152
55,1.634227991104126,0.9454545378684998
172,0.5364387035369873,0.9709302186965942
48,2.9315602779388428,0.9375
57,1.6069207191467285,0.9473684430122375
43,2.3170366287231445,0.9069767594337463
130,2.2526583671569824,0.9307692050933838
175,1.4479163885116577,0.9428571462631226
144,2.142089366912842,0.9097222089767456
61,2.367368459701538,0.9344262480735779
93,1.051954984664917,0.9569892287254333
111,1.4048047065734863,0.9459459185600281
103,2.4138553142547607,0.9223300814628601
93,2.8776159286499023,0.9139785170555115
97,1.338734745979309,0.9587628841400146
157,1.1668802499771118,0.9617834687232971
83,1.9089020490646362,0.9277108311653137
154,0.9079538583755493,0.9545454382896423
143,1.8460758924484253,0.9090909361839294
86,2.609236001968384,0.9186046719551086
136,1.1597967147827148,0.9485294222831726
151,0.9505271911621094,0.9536423683166504
161,1.4981197118759155,0.9440993666648865
31,1.9557851552963257,0.9032257795333862
53,0.7641129493713379,0.9433962106704712
65,1.5363370180130005,0.9230769276618958
38,2.439101219177246,0.9210526347160339
149,1.8769930601119995,0.9328858852386475
63,1.0260684490203857,0.9682539701461792
128,0.6470142006874084,0.953125
85,1.4251198768615723,0.9647058844566345
111,2.4626009464263916,0.9279279112815857
136,2.2311480045318604,0.9264705777168274
44,0.9094255566596985,0.9545454382896423
66,1.7341171503067017,0.9090909361839294
65,2.008037805557251,0.9538461565971375
141,1.206424593925476,0.9645389914512634
112,1.1176358461380005,0.9553571343421936
149,2.103695869445801,0.8926174640655518
118,1.6809152364730835,0.9067796468734741
147,2.0510194301605225,0.9455782175064087
176,3.3680198192596436,0.8977272510528564
42,0.007677814923226833,1.0
130,1.0071038007736206,0.9384615421295166
162,1.865991234779358,0.9259259104728699
58,3.745811939239502,0.9137930870056152
173,2.2316510677337646,0.9190751314163208
68,2.9499597549438477,0.8970588445663452
95,0.38159140944480896,0.9684210419654846
47,2.7793562412261963,0.936170220375061
58,0.7452374696731567,0.9482758641242981
175,1.4632470607757568,0.9428571462631226
41,2.7995169162750244,0.9268292784690857
99,0.8620996475219727,0.9494949579238892
118,0.9574387073516846,0.9491525292396545
59,0.9363325834274292,0.9491525292396545
149,1.5334863662719727,0.9395973086357117
155,1.4244505167007446,0.948387086391449
34,0.3943561613559723,0.970588207244873
64,1.8780632019042969,0.875
112,0.6773777604103088,0.9642857313156128
36,0.09271837770938873,0.9722222089767456
82,1.594003438949585,0.9634146094322205
134,1.5541141033172607,0.9477611780166626
144,1.8086793422698975,0.9444444179534912
51,2.854776382446289,0.9019607901573181
136,1.0810115337371826,0.9485294222831726
170,1.098461627960205,0.9352940917015076
44,0.008875980973243713,1.0
179,1.7650566101074219,0.9217877388000488
37,2.211127519607544,0.9189189076423645
119,1.7465157508850098,0.9579831957817078
